Moderator,Group,k,g,CI_lower,CI_upper,p_value,I2
Task_Type,Decide,252,0.49886062823767485,0.4361897477860072,0.5615315086893424,0.0,90.86702930589165
Task_Type,Create,24,0.48162352860569824,0.2268654461862349,0.7363816110251615,0.00021105242848973305,88.43827677840956
Industry,Business,46,0.7062120264384504,0.5766388793161393,0.8357851735607614,0.0,91.39508041221023
Industry,Communication,86,0.273681605764357,0.18837662032319102,0.358986591205523,3.211404475678137e-10,86.42600779464605
Industry,Healthcare,105,0.6466498720104412,0.5284953914933174,0.7648043525275651,0.0,84.38793693193384
Industry,Public sector,39,0.431838533740332,0.28801390385103975,0.5756631636296242,3.981279750320255e-09,94.60175500366896
AI_Type_Cleaned,Rule-Based,52,0.5595386868490165,0.43963887769102783,0.6794384960070052,0.0,90.44303461821453
AI_Type_Cleaned,Deep,130,0.3976018270417661,0.31548898090597594,0.4797146731775563,0.0,85.35123269073554
AI_Type_Cleaned,Simulated-AI,12,0.6728411021595608,0.39164218482803476,0.954040019491087,2.7346329083410836e-06,89.51068080738264
AI_Type_Cleaned,Wizard of Oz,36,0.7450397296598831,0.524293966086629,0.9657854932331371,3.7104319616787507e-11,92.51760836177755
AI_Type_Cleaned,Shallow,46,0.44652147184982316,0.30466390585399405,0.5883790378456523,6.853122513916787e-10,93.54410351723449
Participant_Expert,No,182,0.45748324692558523,0.385606755300092,0.5293597385510784,0.0,92.80899253085234
Participant_Expert,Yes,94,0.6021105863240662,0.4888287432127569,0.7153924294353755,0.0,79.50208309431345
AI_Expl_Incl,No,115,0.5152374722061119,0.41929903856021394,0.61117590585201,0.0,92.86419522819845
AI_Expl_Incl,Yes,161,0.4839851299641984,0.40499319529593364,0.5629770646324632,0.0,88.53751670016105
Task_Output_Cleaned,Numeric,24,0.9196833220082675,0.7735976951563339,1.0657689488602011,0.0,88.96877642427775
Task_Output_Cleaned,Categoric,103,0.5081843552199566,0.40367699699851545,0.6126917134413978,0.0,90.71974341067333
Task_Output_Cleaned,Binary,125,0.374665950350167,0.3038757897898789,0.44545611091045506,0.0,84.86707151771284
Task_Output_Cleaned,Open Response,24,0.48162352860569824,0.2268654461862349,0.7363816110251615,0.00021105242848973305,88.43827677840956
Comp_Type,Independent Samples,144,0.4347112989429413,0.35112320830878424,0.5182993895770983,0.0,92.03632680665079
Comp_Type,Dependent Samples,132,0.5833844836074827,0.4926019826108873,0.6741669846040782,0.0,89.10020743530426
