Moderator,Group,k,g,SE,CI_lower,CI_upper,z,p,sig,tau2,I2,Q,Q_p,Comparison
Industry,Business,46,0.7062120264384504,0.06610874853179136,0.5766388793161393,0.8357851735607614,10.682580477209255,0.0,***,0.1733271062361217,91.39508041221023,522.956659163372,0.0,Human Augmentation
Industry,Communication,86,0.273681605764357,0.043522951755696926,0.18837662032319102,0.358986591205523,6.28821333857563,3.211404475678137e-10,***,0.12746585488584078,86.42600779464605,626.197501177831,0.0,Human Augmentation
Industry,Healthcare,105,0.6466498720104412,0.06028289822302239,0.5284953914933174,0.7648043525275651,10.726920753181073,0.0,***,0.25048505086597717,84.38793693193384,666.1515492640289,0.0,Human Augmentation
Industry,Public sector,39,0.431838533740332,0.07337991320882258,0.28801390385103975,0.5756631636296242,5.8849692627929056,3.981279750320255e-09,***,0.19246502718271732,94.60175500366896,703.9324822387082,0.0,Human Augmentation
Task_Type,Create,24,0.48162352860569824,0.12997861347931805,0.2268654461862349,0.7363816110251615,3.705405956514017,0.00021105242848973305,***,0.30401541458620424,88.43827677840956,198.93228335590715,0.0,Human Augmentation
Task_Type,Decide,252,0.49886062823767485,0.031974939005952864,0.4361897477860072,0.5615315086893424,15.60161313035814,0.0,***,0.201376052237144,90.86702930589165,2748.2843031777084,0.0,Human Augmentation
AI_Type_Cleaned,Deep,130,0.3976018270417661,0.04189430925295416,0.31548898090597594,0.4797146731775563,9.490592735187043,0.0,***,0.1541816427625931,85.35123269073554,880.6201728551957,0.0,Human Augmentation
AI_Type_Cleaned,Rule-Based,52,0.5595386868490165,0.061173372019382,0.43963887769102783,0.6794384960070052,9.146768739047667,0.0,***,0.16657031437513242,90.44303461821453,533.6421966872495,0.0,Human Augmentation
AI_Type_Cleaned,Shallow,46,0.44652147184982316,0.07237630918154545,0.30466390585399405,0.5883790378456523,6.169442416990192,6.853122513916787e-10,***,0.20069871028074915,93.54410351723449,697.0371987861143,0.0,Human Augmentation
AI_Type_Cleaned,Simulated-AI,12,0.6728411021595608,0.1434688353732276,0.39164218482803476,0.954040019491087,4.689806677590959,2.7346329083410836e-06,***,0.21216797256965625,89.51068080738264,104.86857915184876,0.0,Human Augmentation
AI_Type_Cleaned,Wizard of Oz,36,0.7450397296598831,0.11262538957819086,0.524293966086629,0.9657854932331371,6.615202242143053,3.7104319616787507e-11,***,0.36201935458137546,92.51760836177755,467.7648764227837,0.0,Human Augmentation
Participant_Expert,No,182,0.45748324692558523,0.03667167940076187,0.385606755300092,0.5293597385510784,12.475110341308254,0.0,***,0.2133042105943831,92.80899253085234,2517.032568476159,0.0,Human Augmentation
Participant_Expert,Yes,94,0.6021105863240662,0.05779685873025987,0.4888287432127569,0.7153924294353755,10.417704345043026,0.0,***,0.17773052143785917,79.50208309431345,453.704639490464,0.0,Human Augmentation
AI_Expl_Incl,No,115,0.5152374722061119,0.04894818043158062,0.41929903856021394,0.61117590585201,10.526182335343533,0.0,***,0.2217425848043043,92.86419522819845,1597.5773391459916,0.0,Human Augmentation
AI_Expl_Incl,Yes,161,0.4839851299641984,0.04030200748380856,0.40499319529593364,0.5629770646324632,12.008958366618355,0.0,***,0.19747004339892937,88.53751670016105,1395.858086024413,0.0,Human Augmentation
Task_Output_Cleaned,Binary,125,0.374665950350167,0.03611742885728984,0.3038757897898789,0.44545611091045506,10.373549895552586,0.0,***,0.11379191054379276,84.86707151771284,819.4051808619854,0.0,Human Augmentation
Task_Output_Cleaned,Categoric,103,0.5081843552199566,0.05332008072522511,0.40367699699851545,0.6126917134413978,9.53082494077209,0.0,***,0.2232561651213364,90.71974341067333,1099.107541027598,0.0,Human Augmentation
Task_Output_Cleaned,Numeric,24,0.9196833220082675,0.0745334830877212,0.7735976951563339,1.0657689488602011,12.339196880492736,0.0,***,0.11614255362310427,88.96877642427775,208.4990830085149,0.0,Human Augmentation
Task_Output_Cleaned,Open Response,24,0.48162352860569824,0.12997861347931805,0.2268654461862349,0.7363816110251615,3.705405956514017,0.00021105242848973305,***,0.30401541458620424,88.43827677840956,198.93228335590715,0.0,Human Augmentation
Baseline,AI,193,0.6610987981077548,0.03625344909042451,0.5900420378905228,0.7321555583249869,18.23547316722393,0.0,***,0.19777073324761585,91.23579604570367,2190.729483262181,0.0,Human Augmentation
Baseline,Human,83,0.06372843008784584,0.039345179806137213,-0.013388122332183089,0.14084498250787478,1.6197264925932613,0.10529104263997358,,0.07480637233140698,72.43702370894573,297.50052800580033,0.0,Human Augmentation
Comp_Type,Dependent Samples,132,0.5833844836074827,0.04631760254928342,0.4926019826108873,0.6741669846040782,12.595308295301832,0.0,***,0.18654901465873336,89.10020743530426,1201.857734653656,0.0,Human Augmentation
Comp_Type,Independent Samples,144,0.4347112989429413,0.042646985017427065,0.35112320830878424,0.5182993895770983,10.193248098671052,0.0,***,0.22990661494426648,92.03632680665079,1795.6537960325277,0.0,Human Augmentation
Year,2020,62,0.41789433113987107,0.06650462019153958,0.28754527556445353,0.5482433867152886,6.283688711194741,3.306324103391489e-10,***,0.21096940820851082,87.18267204830093,475.9182274954104,0.0,Human Augmentation
Year,2021,91,0.4473645641585805,0.04891846007127661,0.35148438241887836,0.5432447458982826,9.145107256171766,0.0,***,0.17603646341243726,92.0217695544846,1128.0696968409766,0.0,Human Augmentation
Year,2022,65,0.45034408093886197,0.06599627135424097,0.3209913890845497,0.5796967727931742,6.82378067272315,8.86757334228605e-12,***,0.22630286818590842,91.26675594618196,732.8319191082294,0.0,Human Augmentation
Year,2023,54,0.7606965205258329,0.07926618676670596,0.6053347944630892,0.9160582465885766,9.59673413790793,0.0,***,0.23657287432554786,86.04814163035711,379.87770944779584,0.0,Human Augmentation
Year,2024,4,0.5924737657702714,0.12999523451507192,0.3376831061207305,0.8472644254198124,4.55765757860592,5.17272791533685e-06,***,0.05952550732879533,88.24486540556143,25.520762658211666,1.2015385037922321e-05,Human Augmentation
