Industry,Comparison,k,estimate,se,ci_lower,ci_upper,p_value,I2,tau2,method
Business,Strong Synergy,46,-0.9264769134890131,0.15496525979323006,-1.230208822683744,-0.6227450042942821,2.250490682698114e-09,98.85441427157717,1.0719890118328685,DL
Business,Human Augmentation,46,0.7057971883357079,0.06594864923808251,0.5765378358290663,0.8350565408423496,0.0,91.37427594214225,0.17268393521383382,DL
Business,AI Augmentation,46,-0.7321590409291995,0.18776317210333512,-1.1001748582517363,-0.3641432236066626,9.644126419527943e-05,99.22979271408254,1.5892934548924376,DL
Communication,Strong Synergy,86,-0.48661780455231224,0.14653931143884816,-0.7738348549724546,-0.19940075413216984,0.000897816523692363,98.95135220772342,1.8024541327625583,DL
Communication,Human Augmentation,86,0.2759142829421792,0.04313687006210752,0.19136601762044844,0.3604625482639099,1.5923729002054188e-10,84.9379645066912,0.12380033538817359,DL
Communication,AI Augmentation,86,1.0108067038858166,0.2333917853735716,0.5533588045536162,1.468254603218017,1.4847158204878141e-05,99.63635826880751,4.621564944633646,DL
Healthcare,Strong Synergy,107,-0.3063446285185031,0.09081547579780205,-0.4843429610821951,-0.12834629595481106,0.0007428253529786488,93.86109587089958,0.7343185552004906,DL
Healthcare,Human Augmentation,107,0.6319497292252648,0.058445290331430685,0.5173969601756607,0.7465024982748689,0.0,82.88962906602532,0.2324974700756723,DL
Healthcare,AI Augmentation,107,0.08720134203078743,0.11246654480480488,-0.13323308578663012,0.307635769848205,0.4381307364133573,95.9720332026604,1.1749888776140738,DL
Public sector,Strong Synergy,39,-0.7025323770253408,0.13029881613315655,-0.9579180566463277,-0.4471466974043539,6.979347433322403e-08,98.62221897693142,0.6364575240349505,DL
Public sector,Human Augmentation,39,0.42847426004330297,0.07364240369809592,0.284135148795035,0.572813371291571,5.944593484130678e-09,94.76741270034911,0.1942248561526873,DL
Public sector,AI Augmentation,39,-0.581327674828501,0.15273201286100885,-0.8806824200360783,-0.2819729296209237,0.00014112168839952588,99.05242824625384,0.8840876268702405,DL
